X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
2474362.796000006608665,2402442.790696702897549,45135,,,5238,OLD GEELONG/FIAT DEALERSHIP ENT,INT,,,,,,,,OPERATIONAL,DUST,,,
2531928.641599986702204,2567354.370496887713671,45136,,,6334,ECHUCA-MOOROOPNA NR ANN,FLASH PX,,,,,,,,OPERATIONAL,,,,
2249561.880500095896423,2528434.848096834495664,45137,,,6409,WESTERN HWY/WAWUNNA,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2461755.969800017308444,2422867.410096714273095,45138,,,2661,COBURNS/RICHARD,INT,,,,,,,,OPERATIONAL,,,,
2482139.596200004220009,2419190.288696711882949,45139,,,2659,TAYLORS/CARBINE,INT,,,,,,,,OPERATIONAL,,,,
2546322.954899978358299,2343655.688896681182086,45140,,,6681,BASS HWY/GRANTVILLE-GLEN ALVIE/PIER,INT,,,,,,,,OPERATIONAL,"DUST,PTS_SIGN",,,
2397644.273500042501837,2434282.625896723940969,45141,,,5834,MIDLAND HWY (ALBERT) NR HERTFORD,POS,,,,,,,,OPERATIONAL,"Bluetooth,DUST",,,
2397669.702000039163977,2432875.854096723720431,45142,,,5835,MIDLAND HWY NR VICTORIA,POS,,,,,,,,OPERATIONAL,"Bluetooth,DUST",,,
2529880.310899991076,2383503.020996692590415,45143,,,399,BERWICK-CRANBOURNE/BEMERSYDE (NTH),INT,,,,,,,,OPERATIONAL,,,,
2511988.236999997869134,2396917.872596696019173,45144,,,3211,MCNAUGHTON NR TORTEVAL,POS,,,,,,,,OPERATIONAL,,,,
2497906.364299997687,2408959.970696704462171,45145,,,4557,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C,POS,,,,,,,,OPERATIONAL,ASB WARN,,,
2499533.869900002609938,2398547.267996697686613,45146,,,3548,CHURCH NR CARPENTER,FLASH PX,,,,,,,,OPERATIONAL,,,,
2499325.978899999987,2398777.78429669700563,45147,,,3547,CHURCH NR ST ANDREWS,FLASH PX,,,,,,,,OPERATIONAL,,,,
2485177.217500006314367,2412716.796796704642475,45148,,,2648,HAMPSHIRE NR HARVESTER,FLASH PX,,,,,,,,OPERATIONAL,,,,
2532602.285299988463521,2416559.798196710180491,45149,,,389,MAROONDAH NR COMO,POS,,,,,,,,OPERATIONAL,,,,
2514520.28909999365,2402492.861796702258289,45150,,,402,O'SULLIVAN NR GLENWAY ARCADE,FLASH PX,,,,,,,,OPERATIONAL,,,,
2505714.847399999853,2408256.73049670830369,45151,,,3837,STANHOPE NR LORNE,POS,,,,,,,,OPERATIONAL,ASB WARN,,,
2524601.930799990426749,2407989.382996706292033,45152,,,158,CANTERBURY/BUNNINGS HARDWARE ACCESS,INT,,,,,,,,OPERATIONAL,,,,
2499082.000299998093396,2401613.700896699912846,45153,,,3009,ORMOND ESP NR PINE,POS,,,,,,,,OPERATIONAL,,,,
2461859.733400017023087,2423613.021696712821722,45154,,,2646,COBURNS/BARRIES,INT,,,,,,,,OPERATIONAL,,,,
2504993.773799998220056,2393536.777896696701646,45155,,,4637,CHESTERVILLE NR RADCLIFFE,POS,,,,,,,,OPERATIONAL,,,,
2524700.174399992916733,2411754.349796707741916,45156,,,588,WICKLOW NR TOORAK,FLASH PX,,,,,,,,OPERATIONAL,,,,
2434528.918100023642182,2529073.971296826377511,45157,,,6250,HOLDSWORTH/HOLMES/SANDHURST,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2436474.412600026931614,2527234.585196826606989,45158,,,6251,NAPIER NR TOMLINS ST BRIDGE,POS,,,,,,,,OPERATIONAL,"DUST,PELICAN",,,
2493668.619499999098,2430024.149496721103787,45159,,,2182,DONALD CAMERON/LINCOLN/THOMAS BRUNTON,INT,,,,,,,,OPERATIONAL,,,,
2496718.474799999967,2428416.800396716222167,45160,,,2813,COOPER/FREIGHT/REX,INT,,,,,,,,OPERATIONAL,,,,
2481475.62710000667721,2415290.076896712183952,45161,,,2059,CAIRNLEA/WOODBURN,INT,,,,,,,,OPERATIONAL,,,,
2507069.419299995061,2427171.155896721407771,45162,,,3242,PLENTY/BUSH/DEVELOPMENT,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2486726.731000003870577,2414842.993096704594791,45163,,,2677,DUKE/SURREY,INT,,,,,,,,OPERATIONAL,,,,
2731006.02299991203472,2404965.716796704567969,45164,,,5659,PHE/MCCULLOCH,INT,,,,,,,,OPERATIONAL,DIDO,,,
2486675.141500008758157,2408002.469696703366935,45165,,,2893,MILLERS/BEURON,INT,,,,,,,,OPERATIONAL,,,,
2493859.46130000334233,2412524.877996705472469,45166,,,3524,RACECOURSE NR PIN OAK,POS,,,,,,,,OPERATIONAL,"PELICAN,PUFFIN,TRAM PRI",,,
2480921.320600010454655,2406280.234896706417203,45167,,,3485,PFW NB RAMPS/KOROROIT CREEK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,
2525747.219199988991022,2388801.854096692986786,45168,,,509,MONASH FWY/TINKS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2523809.681999986525625,2380763.612396690063179,45169,,,398,STH GIPPS'D HWY/HUON PARK/WENTWORTH,INT,,,,,,,,OPERATIONAL,AMBU LNK,,,
2475963.681900010444224,2405379.676096704788506,45170,,,5271,SAYERS/MARQUANDS,INT,,,,,,,,OPERATIONAL,,,,
2512547.942199992947,2400695.666596699506044,45171,,,3723,MONASH/BLACKBURN RAMP SIGNALS IB,RAMP MTR,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,
2681412.48139992589131,2376348.970896689221263,45172,,,5609,PHE NR PINE,POS,,,,,,,,OPERATIONAL,DUST,,,
2520681.995199992787093,2399850.97389669995755,45173,,,391,STUD/CENTRE,INT,,,,,,,,OPERATIONAL,FIRE LNK,,,
2512202.458899992052466,2369731.249596687033772,45174,,,756,MOOROODUC HWY/ROBINSONS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2502743.796600001398474,2425310.871196715161204,45175,,,2792,DALTON NR DAVID,POS,,,,,,,,OPERATIONAL,,,,
2496451.172300005331635,2413205.276496712118387,45176,,,1046,ROYAL NR IEVERS,POS,,,,,,,,OPERATIONAL,"PUFFIN,TRAM PRI",,,
2441099.086300026159734,2375432.27999669034034,45177,,,5109,VINES NR MARLO,POS,,,,,,,,OPERATIONAL,PELICAN,,,
2443753.929300025571138,2372569.97469668649137,45178,,,5039,GHERINGHAP/MALOP/MERCER,INT,,,,,,,,OPERATIONAL,,,,
2496674.458099998999387,2408133.490696704946458,45179,,,2397,KINGSWAY/SOUTHERN LINK,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,
2523454.000199995003641,2385031.009396689943969,45180,,,303,HALLAM/CORAL/FORDHOLM,INT,,,,,,,,OPERATIONAL,"PARTFCRT,SRLC",,,
2278371.450100086629391,2345353.568496679887176,45181,,,6827,PHW (RAGLAN PDE)/MORRISS,INT,,,,,,,,OPERATIONAL,TIME CLK,,,
2278770.43000008771196,2345070.442496677860618,45182,,,6828,PHW (RAGLAN PDE)/LAVEROCK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2440326.500700020231307,2352553.984596678987145,45183,,,5231,SURF COAST HWY NR BEACH,POS,,,,,,,,OPERATIONAL,DIDO,,,
2519758.554599992465228,2385304.96159668918699,45184,,,964,ABBOTTS/CLELANDS DEVELOPMENTS,INT,,,,,,,,OPERATIONAL,,,,
2529679.503499988466501,2382323.472496693022549,45185,,,508,CLYDE/GREAVES/O'SHEA,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2443725.573200024664402,2372316.021096686832607,45186,,,5117,RYRIE NR JAMES,POS,,,,,,,,OPERATIONAL,PELICAN,,,
2443948.410400026012212,2372237.262596687767655,45187,,,5118,RYRIE NR UNION,POS,,,,,,,,OPERATIONAL,PELICAN,,,
2397960.123500037472695,2435504.088096726685762,45188,,,5881,MIDLAND HWY SKIPTON/DARLING/DRUMMOND,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2443432.889700024854392,2373348.294396687299013,45189,,,5119,MERCER NR GINN,POS,,,,,,,,OPERATIONAL,PELICAN,,,
2476899.047200012020767,2402841.412596702575684,45190,,,5273,PFW/FORSYTH,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2521538.100599989295006,2402872.881096703000367,45191,,,2014,HIGH ST RD/TYNER,INT,,,,,,,,OPERATIONAL,,,,
2522922.902199990581721,2411922.547796710394323,45192,,,107,MAROONDAH/KALLAY/BRENTNALL,INT,,,,,,,,OPERATIONAL,,,,
2280945.973900085315108,2345363.573096682317555,45193,,,6814,HOPKINS HWY / HAYLEY / NORTHPOINT SC,INT,,,,,,,,OPERATIONAL,"Bluetooth,PARTFCRT",,,
2509604.133299994282424,2390554.534396698698401,45194,,,4638,BOUNDARY / LOWER DANDENONG,POS,,,,,,,,OPERATIONAL,"Bluetooth,PUFFIN",,,
2499541.038000002037734,2405741.116796703077853,45195,,,4438,LITTLE CHAPEL NR PRINCES,FLASH PX,,,,,,,,OPERATIONAL,,,,
2499538.646899998188019,2406011.596596703864634,45196,,,4442,BRAY NR GREY,FLASH PX,,,,,,,,OPERATIONAL,,,,
2438904.834200024604797,2532496.143096833024174,45197,,,6290,MIDLAND HWY/HOWARD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2504904.051799995824695,2421822.952296713832766,45198,,,3741,PLENTY/MT COOPER,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,
2493187.1966,2413445.097996710799634,45199,,,1011,ASCOT VALE/KENT,INT,,,,,,,,OPERATIONAL,,,,
2483899.219200007151812,2412269.496196707710624,45200,,,2673,GLENGALA BTN SIMMIE & OLDFIELD,FLASH PX,,,,,,,,OPERATIONAL,,,,
2433788.764600025024265,2530158.535896830260754,45201,,,6235,LODDON VALLEY/SANDHURST,INT,,,,,,,,OPERATIONAL,"Bluetooth,DUST,PTS_SIGN",,,
2500561.281400003936142,2407861.989296708256006,45202,,,4150,BURNLEY/BARKLY/CITYLINK OFF RAMPS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,
2521465.091899989172816,2397149.222396695055068,45203,,,803,WELLINGTON/TAYLORS,INT,,,,,,,,OPERATIONAL,"Bluetooth,FIRE LNK",,,
2498829.896799996029586,2408520.750396704301238,45204,,,4558,OLYMPIC BLVD(SWAN)/TRAM ACCESS,INT,,,,,,,,OPERATIONAL,EVP,,,
2495182.191900003701448,2440134.211296727880836,45205,,,2193,DONNYBROOK/HUME FWY NB RAMPS,INT,,,,,,,,OPERATIONAL,,,,
2444586.514800019096583,2368934.261096685193479,45206,,,5164,BREAKWATER/FELLMONGERS,INT,,,,,,,,OPERATIONAL,,,,
2510648.251199994236231,2381141.297496689017862,45207,,,507,NEPEAN HWY/STATION,INT,,,,,,,,OPERATIONAL,RAIL LNK,,,
2488902.442300004884601,2416518.141396708786488,45208,,,3047,BUCKLEY/DICKSON,INT,,,,,,,,OPERATIONAL,BUS PRI,,,
2536098.674299988429993,2571218.140696895774454,45209,,,6081,GVH/PINE/BRAUMAN,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2505735.077799995895475,2391796.570196693763137,45210,,,2352,NEPEAN HWY NR LATROBE,POS,,,,,,,,OPERATIONAL,,,,
2681468.70049992762506,2376666.84319669008255,45211,,,5610,PHE/SALE-MAFFRA,INT,,,,,,,,OPERATIONAL,DUST,,,
2499576.637699999847,2406601.83639670163393,45212,,,3917,CHAPEL/PALERMO,INT,,,,,,,,OPERATIONAL,,,,
2487658.454200003296137,2409680.001096704043448,45213,,,2519,PHW/CEMETERY,INT,,,,,,,,OPERATIONAL,,,,
2507342.799399999902,2394132.639096699655056,45214,,,3644,KINGSTON/BALL/ST ANDREWS,INT,,,,,,,,OPERATIONAL,,,,
2238660.737400075886399,2803361.072997512295842,45215,,,6451,CALDER HWY/KARADOC,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,
2500409.347699998877943,2402594.12029670085758,45216,,,4108,GLEN EIRA NR ST GEORGES,POS,,,,,,,,OPERATIONAL,,,,
2500013.6501,2411161.994196706451476,45217,,,2464,JOHNSTON O/H LANE E TRENERRY 14,OH LANE,,,,,,,,OPERATIONAL,,,,
